Name,State,Region/Service Area,Geographic Context,Operator,System Type,Technology Vendor,Booking Method(s),Scheduling Window,Fare,Service Hours,Launch Year,Funding Source,Status/Maturity,Fleet,Ridership/Performance Notes,Website URL,Latitude,Longitude,Source
WexExpress,MI,All of Wexford County; regional connections to Tustin and Traverse City,Rural,Cadillac/Wexford Transit Authority (CWTA),Demand-Response,Not specified,Phone/text (231-779-0123),Not specified,Not specified,Not specified,Not specified,Not specified,Active,Not specified,"Operator's site states door-to-door service is 'available for everyone' (general public confirmed), but most operational fields (fare, hours, scheduling window, launch year, funding, fleet) could not be confirmed from the homepage alone.",https://www.wexexpress.us/,44.2520,-85.4012,Deep sweep MI
Charlevoix County Transit,MI,All of Charlevoix County,Rural,Charlevoix County government (County Transit Dept.),Demand-Response,Not specified,Phone (231-582-6900),Advance,Not specified (prepaid account system; fare schedule not published on rider page),Weekdays 7:30am-4:30pm,Not specified,Not specified,Active,Not specified,"Lower-confidence scope call: no explicit eligibility-restriction language found, and no explicit general-public statement either — site describes service broadly as available 'throughout all of Charlevoix County' with no application/certification requirement mentioned. Included on that basis, consistent with other confirmed-general-public rural MI county systems in this batch, but flagged for human double-check.",https://www.charlevoixcounty.org/county_transit/,45.3178,-85.2601,Deep sweep MI
ROSCOTA,MI,"Roscommon County, with medical connections to neighboring/downstate counties",Rural,Roscommon County Transportation Authority,Demand-Response,Not specified (uses a 'CTS Rider App' and dispatch software),Phone or app,"Same-day (24hr preferred, not required; every effort made to accommodate last-minute trips)",Not specified,Mon-Fri 6am-7pm; Sat 9am-4pm; closed Sunday,Not specified,Not specified,Active,Not specified,"General-public eligibility confirmed ('Roscommon county residents and visitors'). Classified Advance since 24-hour notice is the agency's own stated preference, though same-day is explicitly accommodated when possible — borderline call. Site notes current peak-time capacity constraints.",https://www.roscota.net/,44.4953,-84.5883,Deep sweep MI
Black River Area Development (BRAD) Public Transit,AR,"City routes in Pocahontas, Walnut Ridge, Hoxie, Piggott, Corning; county routes into Clay, Lawrence, Randolph (plus stops in Greene, Craighead) counties",Rural,Black River Area Development Corporation,Demand-Response,Not specified,Phone (870-892-4547 / 1-888-723-4640),"Same-day (city routes, 1hr notice); county routes recommend calling several days ahead, first-come-first-served, no stated cutoff",City routes $2/one-way or $10 unlimited-day pass; county routes $10/person,"Varies by town, roughly Mon-Fri 8am-3pm (Corning Mon/Wed-Fri 9am-2pm, Piggott Tue only)",1975 (program); current on-demand form not dated separately,FTA Section 5311 (via ARDOT),Active,Not specified,"Eligibility directly confirmed via operator site: 'Everyone! No income guidelines apply.' County routes require a 5-passenger minimum. 2019 ARDOT Public Transportation Directory recorded 25,667 annual rides (stale figure, not current).",https://bradcorp.org/services/transportation/,36.2537,-90.9209,Deep sweep AR
CADC/SCAT (South Central Arkansas Transit),AR,"19 south-central AR counties: Calhoun, Clark, Columbia, Dallas, Garland, Hempstead, Hot Spring, Howard, Little River, Lafayette, Lonoke, Miller, Montgomery, Nevada, Ouachita, Pike, Saline, Sevier, Union",Rural,Central Arkansas Development Council (CADC),Demand-Response,Not specified,Phone (501-315-0800 / 501-915-0087),"Advance (72hr requested, not confirmed mandatory; same-day adjustments possible per handbook)","Not specified (described as available 'at a reduced rate to any person, regardless of income')",Not specified (office phone hours weekdays 10am-2pm),1975 (SCAT program origin),FTA Section 5311,Active,Not specified,"General-public eligibility confirmed on operator site. 24-hour advance minimum confirmed via a secondary source, not the primary page directly. 2019 ARDOT directory: 414,748 annual rides (stale figure).",https://www.cadc.com/transportation,34.5645,-92.5868,Deep sweep AR; corrected 2026-08-27 re: booking window
NICE Mini,NY,Nassau County - South Shore zone (Merrick-Lynbrook corridor to Hicksville LIRR) and Syosset/Plainview/Woodbury/Muttontown/East Norwich zone,Suburban,Nassau Inter-County Express (NICE); operated under contract by Transdev,Microtransit,Spare,"App, Phone",Same-day,$3.00 regular / $1.50 reduced; $3.50 single-ride e-ticket by card,Begins 6:00am daily; end time not published on official site,2022,Not specified,Active - Expanding,Not specified,Two zones as of 2024 (South Shore launched June 2022; Syosset zone added Summer 2024). NICE has stated plans for up to 4 additional Mini zones over the following 3 years.,https://www.ridemini.com,40.66,-73.56,Deep sweep NY
Suffolk Transit On-Demand,NY,Southampton zone (Stony Brook Southampton campus/Shinnecock Hills to South Ferry/North Haven incl. Sag Harbor) and East Hampton zone (East Hampton LIRR to Montauk Point incl. Springs/Amagansett),Suburban,Suffolk County Transit; operated by Hampton Jitney,Microtransit,Via Mobility LLC (per county press coverage; not independently confirmed on operator's own site),"App, Phone",Same-day,$2.25 per ride within zone,Daily 6:00am-8:00pm,2021,Not specified,Active,Not specified,"Southampton zone launched 2021; East Hampton zone added later (partnership announcement referenced an April 28 launch; year not independently confirmed, likely 2024). Operator's own site (sctbus.org) returned 403 to automated fetch; details corroborated via county legislature and town-government pages instead.",https://sctbus.org/On-Demand,40.90,-72.30,Deep sweep NY
Circuit New Rochelle (CircuitNR),NY,"Downtown New Rochelle plus expanded southern/eastern zones (YMCA on Weyman Ave, Montefiore on Cedar St)",Urban,"Circuit, in partnership with City of New Rochelle",Microtransit,Circuit (proprietary app),"App, Flag-down",Same-day,Free,"Mon-Thu 7am-7pm, Fri 7am-10pm, Sat 12pm-10pm, Sun 12pm-7pm",2019,Municipal (City of New Rochelle) + sponsor/advertiser partnerships,Active,100% electric vans/sedans/low-speed neighborhood vehicles; count not specified,Not specified,https://www.ridecircuit.com/new-rochelle,40.9115,-73.7823,Deep sweep NY
Circuit Rockaways (Rockaway Rides),NY,"Rockaway Peninsula - 116th St/Far Rockaway LIRR corridor, beach, Rockaway Hotel, transit hubs",Urban,Circuit,Microtransit,Circuit (proprietary app),"App, Kiosk, Flag-down",Same-day,Free per official site; one Feb 2026 news article referenced a possible $2.50 fare - discrepancy unresolved,Mon-Thu 7am-6pm; Fri 7am-9pm; Sat 10am-9pm; Sun 9am-5pm,2023,"$7M grant from NYSERDA (New York Clean Transportation Prizes Program), supported by LIPA",Active,100% electric vans/sedans/low-speed neighborhood vehicles,"Feb 2026 news coverage described the pilot as 'nearing its end' as grant funds are exhausted, with Circuit/community seeking extension funding; current operating status as of this research (July 2026) could not be independently verified.",https://www.ridecircuit.com/rockaways,40.6060,-73.7554,Deep sweep NY
Circuit Brentwood,NY,"Brentwood - Hauppauge Industrial Area, Suffolk County Community College, LIRR",Suburban,Circuit,Microtransit,Circuit (proprietary app),"App, Flag-down",Same-day,Free,Not specified,2024,"NYSERDA + LIPA, Clean Transportation Prize",Active,100% electric,Not specified,https://www.ridecircuit.com/brentwood,40.7815,-73.2454,Deep sweep NY
Circuit Southampton,NY,"Southampton village - LIRR, beach, Main Street",Suburban,Circuit,Microtransit,Circuit (proprietary app),"App, Flag-down",Same-day,Free,Not specified,2013,Municipal/business sponsorship + advertising,Active,100% electric,"Geographically overlaps with Suffolk Transit On-Demand's Southampton zone but is a separately operated, differently funded service (free flag-down/app vs. $2.25 fare app-booked service).",https://www.ridecircuit.com/southampton,40.8843,-72.3892,Deep sweep NY
Circuit East Hampton,NY,"East Hampton village - LIRR station, Jitney stop, Main Street, Main Beach",Suburban,Circuit,Microtransit,Circuit (proprietary app),"App, Phone (at some locations), Flag-down",Same-day,Free,Not specified,2011,Municipal partnership + advertising,Active,100% electric,Overlaps geographically with Suffolk Transit On-Demand's East Hampton zone; separately operated service.,https://www.ridecircuit.com/east-hampton,40.9635,-72.1848,Deep sweep NY
Circuit Montauk,NY,"Montauk - Bayfront Park, The Plaza, Jitney stop, beachside hotels",Suburban,Circuit,Microtransit,Circuit (proprietary app),"App, Flag-down (no advance scheduling)",Same-day,Free,Not specified,2012,Municipal partnership + advertising,Active,100% electric,Not specified,https://www.ridecircuit.com/montauk,41.0362,-71.9556,Deep sweep NY
Buffalo All Access,NY,Buffalo Niagara Medical Campus and surrounding neighborhoods,Urban,"Niagara Frontier Transportation Authority (NFTA), in partnership with Buffalo Niagara Medical Campus (BNMC) and University at Buffalo",Microtransit,Etch (completetrip.etch.app),"App, Phone, Kiosk",Same-day,Free,Mon-Fri 10:30am-2:30pm,2026,Federal (US DOT ITS4US program),Active - New,Not specified,"Community shuttle component is operating; a companion autonomous 'All Access Loop' shuttle was announced but not yet confirmed launched as of research date. Service is centered on the medical campus district but framed by the operator as open to the general public ('designed so everyone can travel with confidence'), not restricted to campus affiliates - flagged for a human eligibility double-check given the campus-adjacent framing.",https://bnmc.org/transportation/buffalo-all-access/,42.9025,-78.8626,Deep sweep NY
RTS On Demand,NY,"Seven-county Rochester region: Genesee, Livingston, Ontario, Orleans, Seneca, Wayne, and Wyoming counties (7 zones, each connecting to RTS Connect bus stops)",Mixed,Rochester Genesee Regional Transportation Authority (RGRTA) / RTS,Microtransit,"Conflicting sources: myrts.com branding/URL pattern suggests Via; a Feb 2025 The Routing Company press release describes the same 7-county rollout as powered by TRC's Pingo platform with 132 vehicles - not resolved, flagged as a discrepancy","App, Website, Phone",Same-day,Not specified,"Weekday service; a 2026 service-change notice eliminated weekend and after-8pm weekday RTS On Demand service effective Sept 7, 2026, implying broader hours previously existed in at least some zones",2025,Not specified,Active,"132 vehicles across the 7-zone service area per Feb 2025 press release, not independently confirmed on operator's own site","Zones phased in starting early 2025 (Seneca, Genesee, Orleans, Ontario, Wyoming first; Wayne and Livingston in spring 2025). General public eligibility confirmed on myrts.com.",https://www.myrts.com/on-demand,43.05,-77.5,Deep sweep NY
Centro MOVE,NY,Rome (single zone),Urban,Central New York Regional Transportation Authority (Centro),Microtransit,"Via Transportation, Inc.","App, Phone",Same-day,$1.00 to/from hub; $4.00 anywhere in zone,Not specified,2024,Not specified,Active,Wheelchair-accessible vehicles available on request; count not specified,"Launched March 5, 2024 in Rome alongside a consolidated 3-route fixed-network redesign. A Nov 2025 news article referenced a 'new on-demand service' as part of a broader Centro system redesign in Syracuse/Onondaga County, but no Syracuse-specific on-demand zone could be confirmed as launched - worth a follow-up check.",https://www.centro.org/move,43.2128,-75.4557,Deep sweep NY
Franklin County Public Transportation (Southern Zone Demand-Response),NY,"Southern Franklin County - Saranac Lake, Tupper Lake (zone-based, curb-to-curb)",Rural,Franklin County Public Transportation,Demand-Response,Not specified,Phone,"Same-day (if space available); 24hr advance requested, not required",$3.00 standard one-way; $2.00 senior/disabled/student,Mon-Fri 8:00am-3:45pm,Not specified,"County, State (NYSDOT 5311 rural formula program plausible but not explicitly confirmed on source page)",Active,Not specified,"Operator's own site states 'Anyone Can Ride' - explicitly general public, with a senior/disabled/student fare discount, not an access gate. Distinct from Franklin County's Northern routes (Malone, Chateaugay, Burke, Fort Covington), which are fixed-route with route deviation and were excluded here as a fixed-route variant, not standalone demand-response.",http://www.franklincountyny.gov/departments/transportation/index.php,44.33,-74.13,Deep sweep NY
Putnam On-Demand,NY,Putnam County (replaced former PART Route 3; county seat Carmel),Mixed,Putnam County Dept. of Planning Development & Transportation; operated by Via,Microtransit,Via,"App, Phone",Same-day,$2.50 standard; $1.25 reduced (senior/student/ADA); $0.75/$0.25 transfer to/from PART fixed route,Mon-Fri 8am-6pm; Sat 9am-3pm; no Sunday service,2025,FTA Urbanized Area Formula Grants (Section 5307),Active - New,"Wheelchair-accessible vehicles, ADA-trained drivers; count not specified","Launched May 12, 2025. Operator's page confirms service is available to the general public and also serves paratransit-eligible riders with accessible vehicles (not gated to ADA/senior certification). Funded via urbanized-area 5307 rather than rural 5311, despite Putnam's semi-rural/exurban character - flagged as a categorization edge case.",https://www.putnamcountyny.gov/transportation/,41.435,-73.681,Deep sweep NY
Move Sullivan,NY,Sullivan County (Highland and Delaware runs confirmed; county-wide per operator page),Rural,Sullivan County Division of Community Resources,Demand-Response,Not specified,Phone,Advance,$1.50 (exact fare required),Booking line open 8:00am-3:00pm; operating hours not published,Not specified,Not specified,Active,Not specified,Confirmed general-public eligibility (not restricted to seniors/disabled) on operator's own transportation page. Reservations required at least 24 hours before trip via phone (845-807-0180). Operational hours and exact service-area boundary not published on the source page - worth a follow-up call to the department.,https://www.sullivanny.gov/Departments/Transportation,41.6559,-74.6899,Deep sweep NY
LANtaFlex,PA,"Lehigh Valley flex zones: 501 Macungie, 502 Slate Belt, 503 Slatington/Walnutport, 504 Coplay/Egypt Airport, 505 Coopersburg, 506 Bath-Hanoverville-Nazareth, 507 West/South Easton (Lehigh and Northampton counties)",Suburban,Lehigh and Northampton Transportation Authority (LANTA),Demand-Response,Ecolane,Phone (888-253-8333),"Same-day (2hr notice, weekdays); Sat/Sun/Mon-morning trips require booking by prior Friday; up to 14 days advance also accepted",Standard LANTA fares (passes/transfers accepted; cash one-way fares accepted onboard),Reservation line Mon-Fri 8:00am-4:00pm; standing reservations available for daily commuters,2011,Not specified,Active,"Small transit vans, approx. 16-passenger capacity, shared-ride service","One of PennDOT's 6 statewide microtransit case-study systems (2024 report); operates in defined flex zones (largest over 25 sq mi) with transfer points to fixed LANTA routes, not a route-deviation service; reservations required at least 2 hours ahead, up to 14 days in advance; shares Ecolane software/reporting with LANTA's ADA paratransit and shared-ride service, so some agency-reported data combines microtransit and shared-ride trips.",https://lantabus.com/lantaflex/,40.585,-75.478,Deep sweep PA
BCTA Connect,PA,"Beaver County, PA (in-county); out-of-county destination service added Feb 2026",Suburban,Beaver County Transit Authority (BCTA),Microtransit,Not specified,App,Same-day,$4.00 per passenger (trips up to 10 miles); $5.00 per passenger (trips over 10 miles); children 50% discount when riding with a paying adult,Monday-Friday 6:00am-8:00pm,2025,Not specified,Active - Expanding,"Wheelchair-accessible vehicles (wheelchair lift, high roof)","Curb-to-curb on-demand service; app scheduling opened Jan 6 2025; an out-of-county destination expansion went live Feb 2, 2026; a public hearing on further proposed Connect service changes was posted July 22, 2026; local news (not independently accessed) referenced planned expansion of Connect service into Allegheny and Butler counties.",https://bcta.com/connect/,40.69,-80.35,Deep sweep PA
Buffalo Area Transit System (BATS),WY,"Buffalo & Johnson County, WY; weekly regional trips to Sheridan and Gillette; Kaycee local service",Rural,Buffalo Area Transit System,Demand-Response,Not specified,"Online (book-online portal), Phone","Same-day (2hr min, 24hr preferred); 4pm cutoff applies only to same-day requests made after 4pm",$1.00 local in-town; $2.00 outside town limits; regional (Sheridan/Gillette) fares not specified,In-town Mon-Fri 8:00am-5:00pm (office Mon-Fri 7:00am-5:00pm); regional trips to Sheridan Mon/Wed/Fri and Gillette Tue/Thu,Not specified,Not specified,Active,"4 buses (3 serving Buffalo, 1 serving regional routes); wheelchair-accessible vehicles available",Dial-a-ride/on-demand service requiring new rider registration; requests 24-hour advance booking (2-hour minimum if unavoidable); 1-hour cancellation notice required; 3-strikes no-show policy (30-day suspension). New Kaycee local service recently added.,https://www.wybats.com,44.349,-106.700,Deep sweep WY
SafeRide (Laramie),WY,"City of Laramie, WY (within city limits)",Mixed,University of Wyoming Transportation & Parking Services,Microtransit,Via,"App (UWYO SafeRide), Phone, In-person",Same-day,Free,Mon-Fri 10:00pm-2:00am; Sat 10:00am-2:00am; Sun 10:00am-10:00pm; summer Fri-Sat 10:00pm-2:00am,Not specified,Not specified,Active,Not specified,"Curb-to-curb, on-demand; operator's own site states 'SafeRide is open to the public, so anyone can ride!' (children must be accompanied by a parent/guardian); wheelchair accessible with advance notice; distinct from UW's separate fixed-route 'Roundup' bus service.",https://www.uwyo.edu/transportation/transit/saferide.html,41.311,-105.591,Deep sweep WY
Campbell County Dial-a-Ride,WY,"Gillette & Campbell County, WY (within city limits and countywide with notice)",Rural,Campbell County Senior Center,Demand-Response,Not specified,Phone,Advance,Within Gillette: $3.00 (senior/veteran/disabled) or $5.00 (general public) per stop; outside city/within county: $5.00 or $8.00 per stop; punch cards $60 (eligible groups) or $100 (general public) for 20 rides,Mon-Fri 8:00am-4:00pm,Not specified,"Federal Transit Administration and State Public Transit programs, administered through WYDOT",Active,Wheelchair-accessible buses,"Door-to-door service explicitly open to the general public at a higher fare tier alongside a senior/veteran/disabled discount tier; first-time riders must call to register. Distinct from the separate fixed-route Campbell County Public Transportation bus service in Gillette/Wright, not counted here.",https://www.campbellcountywy.gov/1990/Transportation,44.291,-105.502,Deep sweep WY
Gopher,VT,"Washington County, VT plus three neighboring northern Orange County towns (Barre-Montpelier area)",Rural,Community Rides Vermont (operating as Gopher),Demand-Response,Not specified,"Phone, Text",Flexible,"Tiered: subsidized rides for eligible Vermonters, market-rate taxi-like fares, and contracted corporate/institutional rates; exact dollar amounts not published",Mon-Wed 7:00am-9:30pm; Thu-Fri 7:00am-6:00pm,Not specified,Not specified,Active,Electric SUVs; count not specified,"Nonprofit 501(c)(3) launched as ""Community Rides Vermont,"" branded Gopher / Gopher-It Rideshare Program. Site states no explicit general-public restriction, and optimal booking window is 2-7 days ahead, but same-day/last-minute requests are explicitly accommodated when possible - recorded as Flexible scheduling window. Also operates as a subcontractor for Medicaid NEMT and Older Adults & People with Disabilities programs; those restricted programs are out of scope, only the general-public rideshare service is represented here.",https://gophervt.org/,44.197,-72.502,Deep sweep VT
Mountain Town Connector,VT,"14 towns in the greater Londonderry/southern Vermont mountain area, incl. Andover, Chester, Chester Depot, Jamaica, Windham, Winhall",Rural,Neighborhood Connections,Demand-Response,Not specified,Phone,Same-day,Free,Monday-Friday 9:00am-4:30pm (booking/dispatch hours); occasional weekend outings,2021,Not specified (originated via BDCC Community Facilities Technical Assistance and Training Program on behalf of USDA Rural Development),Active,One wheelchair-lift-equipped van,"Nonprofit resource-center program; own materials describe ""no age or income criteria to catch a ride"" and ""on-demand scheduling, flexible fixed routes, and group transportation trips."" Medical-related rides are prioritized but not exclusive. Door-through-door service; drivers may accompany riders into appointments. Single-van fleet limits capacity/scale.",https://www.ncvermont.org/transportation.html,43.225,-72.808,Deep sweep VT
MyRide by TVT (Middlebury),VT,"Middlebury, VT (Addison County; mapped zone, exact boundary shown only on operator map)",Rural,Tri-Valley Transit (TVT),Microtransit,Via,"App, Phone, Online (myridebytvt.app.ridewithvia.com)",Flexible,Not specified,Monday-Friday 7:00am-6:00pm,2026,Not specified,Active - New,"Vehicles up to 8 passengers, wheelchair-lift accessible, service animals accommodated (shared TVT MyRide fleet spec, per existing Montpelier MyRide row)","Replaced the prior EZ Trip service in Middlebury as of July 15, 2026 (same relaunch date as TVT's Montpelier MyRide zone, already in this CSV as a separate row); bookable 1 hour to 21 days in advance per TVT's own site (differs from Montpelier zone's 15-minute-to-30-day window) with Arrive By/Depart By options. Distinct mapped zone from Montpelier; not a duplicate of the existing MyRide by TVT (Montpelier) row.",https://www.trivalleytransit.org/myride/,44.016,-73.168,Deep sweep VT
WinReady,VA,"City of Winchester, VA (citywide)",Suburban,"City of Winchester (WinTran) / Via Transportation, Inc.",Microtransit,Via,"WinReady On Demand app, Phone",Same-day,Free (as of research date; funded in part by temporary ARPA/federal support per city transit funding page),Not specified (typical pickup ~30 min after request),2024,"Federal (FTA, ~50% of Winchester Transit funding), State (DRPT, ~16%), Local (City General Fund, ~34%)",Active,Not specified,"Launched March 25, 2024 as a free, publicly operated point-to-point rideshare service covering the entire City of Winchester; complements the WinTran fixed-route system. Via's ninth tech-enabled transit deployment in Virginia per RideWithVia coverage.",https://www.winchesterva.gov/Services-Payments/Public-Transit/WinReady,39.1857,-78.1633,Deep sweep VA
MetroFLX,VA,"Cities of Roanoke and Salem, and Town of Vinton, VA",Suburban,Valley Metro (Greater Roanoke Transit Company),Microtransit,Not specified (booked via Valley Metro's VMGO app; underlying platform vendor not identified),"VMGO app, Phone (540-343-1721)",Same-day,Same as regular Valley Metro bus fare; cash only as of research date,"Mon-Sat 8:45pm-12:45am (starts when fixed-route service ends), Sun 9:00am-6:00pm",2024,Local (City of Roanoke),Active,RADAR vans (wheelchair-lift equipped); fleet size not specified,"Launched Jan 22, 2024 to extend service after fixed-route buses stop running and to cover Sunday service; door-to-door within the Roanoke/Salem/Vinton tri-city area. Celebrated 2-year anniversary Jan 2026.",https://www.valleymetro.com,37.2710,-79.9414,Deep sweep VA
GLTC Flex,VA,"Lynchburg, VA (designated zone incl. Graves Mill Rd, Enterprise Dr, Timberlake Rd, airport area)",Suburban,Greater Lynchburg Transit Company (GLTC),Microtransit,Via,"GLTC Flex app, Phone (434-455-5099)",Same-day,Same as standard GLTC bus fare; discounted fares available for eligible riders,"Mon-Sat 5:15am-7:15pm, Sun 8:15am-6:45pm",2024,Not specified,Active,Not specified,"Launched Aug 2, 2024 (ribbon-cutting); provides customized point-to-point trips within a designated Lynchburg zone as an alternative to fixed-route buses. Open to the general public.",https://gltconline.com/flex/,37.4138,-79.1422,Deep sweep VA
HRT OnDemand,VA,"Zones in Virginia Beach (~15 sq mi), Newport News (~20 sq mi), Chesapeake (~11.3 sq mi), and Hampton (~5.9 sq mi)",Urban,Hampton Roads Transit (HRT),Microtransit,Via,"HRT OnDemand app, Phone (757-859-8294)",Same-day,$2/ride; free for qualified paratransit riders and Student Freedom Pass holders; children under 17 free with paying adult,"Weekdays 5:00am-9:00pm, Weekends 7:00am-8:00pm",2022,Not specified,Active,Not specified,"Original Newport News/Virginia Beach pilot ran July 2022-Feb 2023 (26,258 and 13,037 ride requests respectively); relaunched Oct 2024 and expanded to Chesapeake and Hampton Jan 2025. First/last-mile connector to HRT fixed-route bus and light rail. Pilot funding runs through Oct 2026 per one source.",https://gohrt.com/services/ondemand/,37.0871,-76.4730,Deep sweep VA
LC Transit On Demand,VA,"Leesburg (~5-6 sq mi zone) and Sterling (~14 sq mi zone), Loudoun County, VA",Suburban,Loudoun County Transit,Microtransit,RideCo,"LC Transit On Demand app, Web (book.lct.rideco.com), Phone (571-258-3464)",Same-day,Free,"Leesburg: Mon-Fri 7am-7pm (weekend service added Jul 5, 2026); Sterling: Mon-Fri 6am-8pm, weekends 8am-10pm",2025,State (DRPT grant; also cites a Low-No Transit Enhancement Grant),Active,Minivans and 6-passenger buses (green Transit On Demand decals),"Leesburg pilot launched 2025 and ""exceeded expectations,"" prompting expansion to Sterling; Leesburg and Sterling are independent zones (trips cannot cross zones; use Route 70 bus to connect). Open to the general public.",https://www.loudoun.gov/transitondemand,39.1157,-77.5636,Deep sweep VA
Arlington Microtransit (MICRO),VA,"Northwest Arlington (two zones: Arlington North and Arlington South), bounded by North Glebe Rd, Langston Blvd, and the county line",Urban,Arlington Transit (ART) / Arlington County (Via),Microtransit,Via,"App, Phone (571-517-4181)",Same-day,"$4.50 standard; $2.25 for seniors, persons with disabilities, K-12 students, and Metrorail connections; additional passengers $2.25 each; children under 5 free","Mon-Fri 5:30am-9:30pm, Sat 7:00am-9:30pm",2026,Local (Arlington County),Active - New,Not specified,"Launched Apr 13, 2026 as a stopgap replacing low-ridership fixed-route ART service in northwest Arlington; virtual bus-stop pickup/dropoff model connecting to East Falls Church Metro, Ballston-MU Metro, Virginia Hospital Center, and Madison Community Center. Riders must be 13+ unless with a guardian.",https://city.ridewithvia.com/art,38.8880,-77.1330,Deep sweep VA
Union County On-Demand Micro-Transit Pilot,NJ,"1.5-mile radius zone centered on Route 28 & South Avenue (County Route 610), Union County, NJ (~35,000 residents)",Suburban,"Union County (River North Transit, LLC / Via)",Microtransit,Via,"App, Web portal, Phone",Same-day,Not specified,Mon-Fri 7:00am-7:00pm (minimum),2026,Local (Union County contract with Via); specific grant/funding line not itemized in county announcement,Active - New,Not specified,"One-year pilot approved by the Union County Board of County Commissioners; launching Summer 2026 near the Westfield/Scotch Plains/Fanwood area to address employment, healthcare, shopping, and first/last-mile transit gaps. ADA-compliant, open to all riders.",https://ucnj.org/press-releases/public-info/2026/06/01/union-county-announces-new-on-demand-micro-transit-pilot-program-to-expand-transportation-access/,40.6640,-74.3181,Deep sweep NJ
GOTrenton!,NJ,"City of Trenton, NJ and surrounding areas",Urban,"Isles, Inc. (with NJ Dept. of Environmental Protection support)",Microtransit,Circuit,Circuit app,Same-day,$2/ride within Trenton; $4/ride to other locations,"Mon-Fri 7am-6pm, Sat 12pm-5pm, Sun 7am-1pm",2023,"State (NJ Dept. of Environmental Protection); Private/Nonprofit (Isles, Inc.)",Active,"Electric shuttles/vans, including Kia Niro EVs","Launched Oct 2023; free/emission-free electric rideshare for the city of Trenton, expanded April 2025; surpassed 100,000 riders per Trenton Journal coverage.",https://gotrenton.org,40.2206,-74.7597,Deep sweep NJ
Marshall County Rural Transit (MCPT),IN,"Marshall County, IN (Plymouth and county-wide); out-of-county trips within a 2-hour radius including South Bend/Mishawaka, Fort Wayne, and Indianapolis",Rural,Marshall County Council on Aging,Microtransit,Not specified,Phone,Same-day,$2.50 per boarding for in-town Plymouth service; out-of-town medical trips for riders 60+ are donation-based (Title III Older Americans Act funding),Mon-Fri 6:00 AM-6:00 PM (last call for in-town Plymouth service 5:00 PM),Not specified,"United Way of Marshall County, Area 2 Agency on Aging, FTA, INDOT",Active,Not specified,"Demand-response, curb-to-curb service explicitly marketed as open to the general public ('MCPT is public transportation so anyone can ride!'); same-day phone dispatch, no fixed schedule -- classified as Microtransit per project convention despite phone-only (no app) booking. Also provides separate Medicaid-funded trips for eligible riders.",https://marshallcountycouncilonaging.org/transit_brochure2024.pdf,41.3434,-86.3086,Deep sweep IN
Catch-A-Ride (Lifetime Resources),IN,"Ripley, Jefferson, Dearborn, Ohio, Switzerland, and Decatur counties, IN (southeast Indiana)",Rural,"Lifetime Resources, Inc.",Demand-Response,Not specified,Phone,Advance,"$3.00 base (0-5 miles) plus $0.25/additional mile; reduced $2.00 base fare for seniors 60+, children up to 16, and persons with permanent disabilities; $4.50 base subscription option; group rates available",Mon-Fri 6:00 AM-6:00 PM; call center Mon-Fri 7:00 AM-5:00 PM,Not specified,Not specified (operates under Title II ADA compliance; also accepts Medicaid/Medicaid Waiver/Medicare/Managed Care as payer sources alongside cash fares),Active,Wheelchair-accessible vehicles,"General-public demand-response covering six southeast Indiana counties; reservations accepted up to 30 days in advance, first-come first-served. Decatur County receives Catch-A-Ride service only (not Lifetime Resources' other programs).",https://lifetime-resources.org/catch-a-ride/,39.0134,-85.0666,Deep sweep IN
MAPS (Metro Area Public Transit System),MO,"Joplin, Webb City, Oronogo, Carterville, Duquesne, and Duenweg, MO",Urban,City of Joplin,Demand-Response,Not specified,"Phone, Web portal",Same-day (as little as 1hr advance notice),"$4.00 full fare; $2.00 half fare (seniors 60+, military/veterans, persons with disabilities, Medicare); $2.00 teen fare; $1.00 child (under 12)",Mon-Fri 6:30 AM-5:00 PM,Not specified,Not specified,Active,Not specified,"Curb-to-curb, prescheduled demand-response covering the greater Joplin metro area, open to the general public; separate paratransit tier serves ADA-eligible riders within 3/4 mile of the fixed bus route. Booking via joplinportal.maps-transit.com or phone.",https://www.joplinmo.org/365/Public-Transportation,37.0842,-94.5133,Deep sweep MO
VANLNK,NE,"City of Lincoln, NE (citywide)",Urban,StarTran (City of Lincoln),Microtransit,Not specified,App,Same-day,$5.00 per trip (shared ride),Mon-Sat (exact hours not specified),2020,Not specified,Active,Smaller vehicles than standard StarTran buses; wheelchair-accessible,"Launched April 20, 2020 as a pilot originally designed for disabled/senior riders; broadened to all residents citywide. Door-to-door, app-based on-demand booking anywhere within Lincoln city limits. A separate paratransit-eligible tier can now book up to 7 days in advance through the same app (2025 update) -- that advance option is for ADA-certified riders specifically; the general-public service remains same-day/on-demand.",https://transit.lincoln.ne.gov,40.8136,-96.7026,Deep sweep NE
